Date,Item,Category,Qty,Unit Price,Unit Cost,Total
2026-03-04,Cooking Oil 1L,Groceries,13,320,250,4160
2026-03-04,Sugar 1kg,Groceries,25,160,120,4000
2026-03-04,Maize Flour 2kg,Groceries,17,190,150,3230
2026-03-04,Rice 2kg,Groceries,11,280,220,3080
2026-03-04,Bread,Bakery,29,60,42,1740
2026-03-04,Milk 500ml,Dairy,20,55,40,1100
2026-03-04,Soda 500ml,Beverages,23,70,48,1610
2026-03-04,Bottled Water 1L,Beverages,15,45,28,675
2026-03-04,Tea Leaves 250g,Groceries,6,140,105,840
2026-03-04,Soap Bar,Household,12,45,30,540
2026-03-04,Detergent 500g,Household,6,180,135,1080
2026-03-04,Matchbox,Household,24,10,6,240
2026-03-05,Cooking Oil 1L,Groceries,15,320,250,4800
2026-03-05,Sugar 1kg,Groceries,26,160,120,4160
2026-03-05,Maize Flour 2kg,Groceries,15,190,150,2850
2026-03-05,Rice 2kg,Groceries,8,280,220,2240
2026-03-05,Bread,Bakery,31,60,42,1860
2026-03-05,Milk 500ml,Dairy,34,55,40,1870
2026-03-05,Soda 500ml,Beverages,22,70,48,1540
2026-03-05,Bottled Water 1L,Beverages,15,45,28,675
2026-03-05,Tea Leaves 250g,Groceries,7,140,105,980
2026-03-05,Soap Bar,Household,8,45,30,360
2026-03-05,Detergent 500g,Household,5,180,135,900
2026-03-05,Matchbox,Household,21,10,6,210
2026-03-06,Cooking Oil 1L,Groceries,16,320,250,5120
2026-03-06,Sugar 1kg,Groceries,25,160,120,4000
2026-03-06,Maize Flour 2kg,Groceries,19,190,150,3610
2026-03-06,Rice 2kg,Groceries,10,280,220,2800
2026-03-06,Bread,Bakery,34,60,42,2040
2026-03-06,Milk 500ml,Dairy,22,55,40,1210
2026-03-06,Soda 500ml,Beverages,24,70,48,1680
2026-03-06,Bottled Water 1L,Beverages,11,45,28,495
2026-03-06,Tea Leaves 250g,Groceries,3,140,105,420
2026-03-06,Soap Bar,Household,10,45,30,450
2026-03-06,Detergent 500g,Household,5,180,135,900
2026-03-06,Matchbox,Household,23,10,6,230
2026-03-07,Cooking Oil 1L,Groceries,21,320,250,6720
2026-03-07,Sugar 1kg,Groceries,27,160,120,4320
2026-03-07,Maize Flour 2kg,Groceries,28,190,150,5320
2026-03-07,Rice 2kg,Groceries,11,280,220,3080
2026-03-07,Bread,Bakery,40,60,42,2400
2026-03-07,Milk 500ml,Dairy,36,55,40,1980
2026-03-07,Soda 500ml,Beverages,30,70,48,2100
2026-03-07,Bottled Water 1L,Beverages,25,45,28,1125
2026-03-07,Tea Leaves 250g,Groceries,10,140,105,1400
2026-03-07,Soap Bar,Household,17,45,30,765
2026-03-07,Detergent 500g,Household,9,180,135,1620
2026-03-07,Matchbox,Household,29,10,6,290
2026-03-08,Cooking Oil 1L,Groceries,16,320,250,5120
2026-03-08,Sugar 1kg,Groceries,30,160,120,4800
2026-03-08,Maize Flour 2kg,Groceries,22,190,150,4180
2026-03-08,Rice 2kg,Groceries,14,280,220,3920
2026-03-08,Bread,Bakery,39,60,42,2340
2026-03-08,Milk 500ml,Dairy,54,55,40,2970
2026-03-08,Soda 500ml,Beverages,25,70,48,1750
2026-03-08,Bottled Water 1L,Beverages,17,45,28,765
2026-03-08,Tea Leaves 250g,Groceries,10,140,105,1400
2026-03-08,Soap Bar,Household,20,45,30,900
2026-03-08,Detergent 500g,Household,8,180,135,1440
2026-03-08,Matchbox,Household,31,10,6,310
2026-03-09,Cooking Oil 1L,Groceries,17,320,250,5440
2026-03-09,Sugar 1kg,Groceries,25,160,120,4000
2026-03-09,Maize Flour 2kg,Groceries,13,190,150,2470
2026-03-09,Rice 2kg,Groceries,9,280,220,2520
2026-03-09,Bread,Bakery,35,60,42,2100
2026-03-09,Milk 500ml,Dairy,21,55,40,1155
2026-03-09,Soda 500ml,Beverages,22,70,48,1540
2026-03-09,Bottled Water 1L,Beverages,17,45,28,765
2026-03-09,Tea Leaves 250g,Groceries,6,140,105,840
2026-03-09,Soap Bar,Household,13,45,30,585
2026-03-09,Detergent 500g,Household,6,180,135,1080
2026-03-09,Matchbox,Household,28,10,6,280
2026-03-10,Cooking Oil 1L,Groceries,15,320,250,4800
2026-03-10,Sugar 1kg,Groceries,23,160,120,3680
2026-03-10,Maize Flour 2kg,Groceries,16,190,150,3040
2026-03-10,Rice 2kg,Groceries,8,280,220,2240
2026-03-10,Bread,Bakery,35,60,42,2100
2026-03-10,Milk 500ml,Dairy,25,55,40,1375
2026-03-10,Soda 500ml,Beverages,22,70,48,1540
2026-03-10,Bottled Water 1L,Beverages,18,45,28,810
2026-03-10,Tea Leaves 250g,Groceries,6,140,105,840
2026-03-10,Soap Bar,Household,11,45,30,495
2026-03-10,Detergent 500g,Household,4,180,135,720
2026-03-10,Matchbox,Household,16,10,6,160
2026-03-11,Cooking Oil 1L,Groceries,12,320,250,3840
2026-03-11,Sugar 1kg,Groceries,28,160,120,4480
2026-03-11,Maize Flour 2kg,Groceries,22,190,150,4180
2026-03-11,Rice 2kg,Groceries,10,280,220,2800
2026-03-11,Bread,Bakery,32,60,42,1920
2026-03-11,Milk 500ml,Dairy,29,55,40,1595
2026-03-11,Soda 500ml,Beverages,26,70,48,1820
2026-03-11,Bottled Water 1L,Beverages,19,45,28,855
2026-03-11,Tea Leaves 250g,Groceries,7,140,105,980
2026-03-11,Soap Bar,Household,10,45,30,450
2026-03-11,Detergent 500g,Household,7,180,135,1260
2026-03-11,Matchbox,Household,21,10,6,210
2026-03-12,Cooking Oil 1L,Groceries,17,320,250,5440
2026-03-12,Sugar 1kg,Groceries,26,160,120,4160
2026-03-12,Maize Flour 2kg,Groceries,24,190,150,4560
2026-03-12,Rice 2kg,Groceries,9,280,220,2520
2026-03-12,Bread,Bakery,39,60,42,2340
2026-03-12,Milk 500ml,Dairy,29,55,40,1595
2026-03-12,Soda 500ml,Beverages,20,70,48,1400
2026-03-12,Bottled Water 1L,Beverages,13,45,28,585
2026-03-12,Tea Leaves 250g,Groceries,6,140,105,840
2026-03-12,Soap Bar,Household,15,45,30,675
2026-03-12,Detergent 500g,Household,7,180,135,1260
2026-03-12,Matchbox,Household,23,10,6,230
2026-03-13,Cooking Oil 1L,Groceries,8,320,250,2560
2026-03-13,Sugar 1kg,Groceries,30,160,120,4800
2026-03-13,Maize Flour 2kg,Groceries,20,190,150,3800
2026-03-13,Rice 2kg,Groceries,9,280,220,2520
2026-03-13,Bread,Bakery,27,60,42,1620
2026-03-13,Milk 500ml,Dairy,28,55,40,1540
2026-03-13,Soda 500ml,Beverages,29,70,48,2030
2026-03-13,Bottled Water 1L,Beverages,13,45,28,585
2026-03-13,Tea Leaves 250g,Groceries,6,140,105,840
2026-03-13,Soap Bar,Household,15,45,30,675
2026-03-13,Detergent 500g,Household,5,180,135,900
2026-03-13,Matchbox,Household,19,10,6,190
2026-03-14,Cooking Oil 1L,Groceries,19,320,250,6080
2026-03-14,Sugar 1kg,Groceries,28,160,120,4480
2026-03-14,Maize Flour 2kg,Groceries,26,190,150,4940
2026-03-14,Rice 2kg,Groceries,10,280,220,2800
2026-03-14,Bread,Bakery,48,60,42,2880
2026-03-14,Milk 500ml,Dairy,39,55,40,2145
2026-03-14,Soda 500ml,Beverages,43,70,48,3010
2026-03-14,Bottled Water 1L,Beverages,23,45,28,1035
2026-03-14,Tea Leaves 250g,Groceries,12,140,105,1680
2026-03-14,Soap Bar,Household,12,45,30,540
2026-03-14,Detergent 500g,Household,8,180,135,1440
2026-03-14,Matchbox,Household,29,10,6,290
2026-03-15,Cooking Oil 1L,Groceries,25,320,250,8000
2026-03-15,Sugar 1kg,Groceries,25,160,120,4000
2026-03-15,Maize Flour 2kg,Groceries,29,190,150,5510
2026-03-15,Rice 2kg,Groceries,15,280,220,4200
2026-03-15,Bread,Bakery,53,60,42,3180
2026-03-15,Milk 500ml,Dairy,44,55,40,2420
2026-03-15,Soda 500ml,Beverages,31,70,48,2170
2026-03-15,Bottled Water 1L,Beverages,20,45,28,900
2026-03-15,Tea Leaves 250g,Groceries,7,140,105,980
2026-03-15,Soap Bar,Household,17,45,30,765
